state,case_type,count,date,time,travel_history_count
Lagos,confirmed,1,27/02/2020,,
Ogun,confirmed,1,8/3/2020,,
FCT,confirmed,1,17/03/2020,10:30am,
Lagos,confirmed,4,18/03/2020,11:30am,
Ekiti,confirmed,1,18/03/2020,11:30am,
Edo,screened,1,19/03/2020,9:37am,
Enugu,screened,1,19/03/2020,9:37am,
FCT,screened,15,19/03/2020,9:37am,
Lagos,screened,44,19/03/2020,9:37am,
Ogun,screened,4,19/03/2020,9:37am,
Rivers,screened,1,19/03/2020,9:37am,
Ekiti,screened,1,19/03/2020,9:37am,
,confirmed,4,19/03/2020,,
FCT,confirmed,3,21/03/2020,2:30pm,3
Lagos,confirmed,7,21/03/2020,2:30pm,6
Lagos,confirmed,3,22/03/2020,6:45am,3
Oyo,confirmed,1,22/03/2020,8:05am,
Lagos,discharged,2,22/03/2020,8:05am,
FCT,confirmed,1,22/03/2020,11:00am,
Lagos,confirmed,2,23/03/2020,9:45am,1
FCT,confirmed,2,22/03/2020,9:45am,1
Edo,confirmed,1,22/03/2020,9:45am,0
Lagos,confirmed,1,23/03/2020,11:20am,
FCT,death,1,23/03/2020,11:30am,
FCT,confirmed,1,23/03/2020,11:00pm,1
Lagos,confirmed,3,23/03/2020,11:00pm,1
Lagos,confirmed,1,24/03/2020,1:00pm,1
Ogun,confirmed,1,24/03/2020,1:00pm,
FCT,confirmed,1,24/03/2020,6:45pm,1
Bauchi,confirmed,1,24/03/2020,6:45pm,1
Lagos,confirmed,1,25/03/2020,7:00am,1
Osun,confirmed,1,25/03/2021,7:00am,1
Lagos,confirmed,2,25/03/2020,11:25pm,1
FCT,confirmed,2,25/03/2020,11:25pm,1
Rivers,confirmed,1,25/03/2020,11:25pm,1
FCT,confirmed,1,26/03/2020,8:35pm,
Bauchi,confirmed,1,26/03/2020,8:35pm,
Lagos,confirmed,12,26/03/2020,8:35pm,6
FCT,confirmed,3,27/03/2020,8:00pm,
Oyo,confirmed,2,27/03/2020,8:00pm,
Lagos,confirmed,8,27/03/2020,11:55pm,
